name,category,price_tier,neighborhood,open_start,open_end,average_rating,good_for_kids,customer_review
eu sapien cursus,French,Expensive,Williamsburg,13:58:42.000,18:15:08.000,1.2,1,
maecenas ut massa,Greek,Cheap,Flushing,11:12:30.000,17:49:30.000,1.6,0,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
amet erat nulla,French,Medium,East Village,19:59:41.000,16:36:31.000,3.4,0,
auctor sed tristique,Italian,Medium,Harlem,21:31:09.000,10:39:52.000,2.8,0,
molestie nibh in,Spanish,Expensive,Upper East Side,11:15:42.000,18:12:11.000,2.6,0,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
blandit nam,Japanese,Medium,Midtown,13:38:59.000,18:51:12.000,3.1,1,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
hendrerit,French,Cheap,Queens,12:38:51.000,22:04:00.000,1.4,1,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
ipsum ac tellus,Spanish,Medium,Williamsburg,17:49:34.000,18:18:43.000,1.1,1,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
risus auctor sed,Chinese,Medium,Midtown,16:15:08.000,17:33:59.000,3.3,1,
sapien,Italian,Expensive,Chelsea,20:08:07.000,12:25:35.000,2.5,0,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
eget,Thai,Medium,Park Slope,12:11:24.000,12:11:39.000,3.9,1,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
velit,American,Cheap,Queens,12:38:55.000,8:57:58.000,3.3,0,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
odio in,Mexican,Expensive,Brooklyn,17:57:05.000,18:49:25.000,1.5,0,
sociis natoque penatibus,Spanish,Expensive,Astoria,18:35:12.000,12:37:42.000,4.4,0,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
mi sit,French,Expensive,Harlem,14:00:21.000,9:21:24.000,2.8,1,
nullam molestie,Thai,Medium,Long Island City,19:07:10.000,16:14:13.000,2.3,1,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
dolor,Mexican,Cheap,Downtown,17:25:43.000,23:45:03.000,2.5,1,
congue diam,Spanish,Cheap,Williamsburg,11:24:37.000,19:39:13.000,1.7,0,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
consequat morbi a,Japanese,Cheap,Chelsea,12:35:00.000,9:09:38.000,3.3,0,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
pede posuere,Italian,Medium,Harlem,20:23:49.000,8:29:59.000,2.9,1,
feugiat non pretium,French,Expensive,Lower East Side,17:47:39.000,18:25:27.000,4.1,1,
in faucibus orci,American,Cheap,Queens,20:58:23.000,18:01:54.000,1.3,1,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
maecenas rhoncus aliquam,Chinese,Medium,Lower East Side,15:09:08.000,19:38:09.000,1.4,1,
ultrices libero non,Thai,Cheap,Brooklyn,15:00:46.000,22:01:08.000,1.4,1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
ut,French,Cheap,Astoria,16:15:14.000,23:40:56.000,1.1,0,
eleifend luctus ultricies,Mexican,Medium,East Village,18:34:22.000,19:03:29.000,3.6,0,
interdum venenatis,American,Expensive,Brooklyn,13:40:37.000,21:40:10.000,1.3,0,
interdum,Italian,Medium,Queens,18:27:12.000,8:56:20.000,3.4,1,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
sem duis,Indian,Expensive,Flushing,20:45:32.000,13:35:42.000,3.2,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
consectetuer adipiscing,Chinese,Medium,Long Island City,14:14:39.000,11:10:43.000,2.5,0,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
tincidunt eget,American,Cheap,Upper West Side,20:27:49.000,8:48:56.000,2.1,0,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
venenatis non sodales,Indian,Expensive,Jackson Heights,11:22:20.000,21:16:18.000,1.5,1,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
commodo placerat,Thai,Medium,Staten Island,17:18:17.000,14:17:09.000,3.8,0,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
eleifend pede libero,Greek,Expensive,Brooklyn,13:54:35.000,11:22:26.000,2.6,1,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
platea dictumst,Mexican,Cheap,Upper West Side,18:46:05.000,9:38:37.000,3.0,1,
nisi venenatis,Indian,Medium,Greenwich Village,21:27:54.000,19:52:42.000,4.6,0,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
vestibulum,Greek,Medium,Staten Island,15:51:19.000,14:49:14.000,3.8,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio."
ullamcorper purus sit,Chinese,Expensive,Greenwich Village,17:06:46.000,11:55:45.000,4.9,1,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
venenatis,Japanese,Expensive,Staten Island,21:22:07.000,8:02:42.000,3.2,0,
quam,American,Medium,Downtown,15:36:37.000,13:03:07.000,1.4,1,
magna,Spanish,Expensive,Upper West Side,12:59:40.000,8:34:59.000,1.5,0,
vivamus tortor,Thai,Cheap,East Village,14:57:52.000,9:50:20.000,4.0,1,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
eros viverra eget,Mexican,Medium,Upper West Side,15:38:04.000,11:15:43.000,5.0,0,
vulputate nonummy maecenas,French,Expensive,Chelsea,11:04:51.000,19:28:13.000,3.6,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
et ultrices,Mexican,Medium,Queens,15:55:45.000,18:01:35.000,3.5,0,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
est risus auctor,American,Medium,Greenwich Village,12:17:05.000,13:56:18.000,1.1,1,
morbi a ipsum,French,Expensive,Chelsea,19:05:18.000,13:08:28.000,1.6,0,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
quam a,Chinese,Cheap,Brooklyn,17:45:22.000,8:28:30.000,2.8,0,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
suspendisse potenti,Spanish,Cheap,Brooklyn,15:05:52.000,16:24:07.000,2.6,0,
orci,Spanish,Cheap,Queens,17:54:01.000,20:44:39.000,4.4,0,
habitasse,French,Cheap,Midtown,12:36:05.000,18:58:59.000,1.8,1,
lobortis convallis,Mexican,Cheap,Upper East Side,18:14:29.000,9:00:44.000,2.8,1,In congue. Etiam justo. Etiam pretium iaculis justo.
aliquam quis turpis,Indian,Medium,Jackson Heights,15:57:57.000,18:26:26.000,2.9,1,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
at nulla,Chinese,Medium,Greenwich Village,13:10:30.000,21:20:01.000,2.6,0,
in lacus,Italian,Medium,Upper East Side,20:02:38.000,17:35:09.000,2.1,1,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
vel,Greek,Medium,Queens,18:50:10.000,14:15:41.000,2.6,0,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
vestibulum,French,Medium,Williamsburg,13:35:40.000,22:52:09.000,3.4,0,
pede ac,Spanish,Cheap,Bronx,13:11:41.000,10:20:53.000,3.8,1,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
rutrum nulla tellus,Greek,Medium,Staten Island,13:54:55.000,17:25:08.000,2.2,0,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
mi sit,French,Expensive,Park Slope,12:15:20.000,12:41:06.000,4.1,1,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
massa tempor convallis,American,Cheap,Park Slope,17:50:41.000,12:39:37.000,1.1,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus."
ipsum,Japanese,Cheap,Park Slope,12:44:23.000,12:10:14.000,4.8,1,
suscipit a feugiat,Chinese,Medium,East Village,21:34:47.000,16:20:57.000,3.5,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
condimentum,Japanese,Expensive,Flushing,18:41:40.000,11:04:41.000,4.1,0,
vel lectus in,Indian,Cheap,Downtown,13:00:54.000,14:27:19.000,4.0,0,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
tristique,Greek,Medium,Manhattan,18:22:46.000,9:52:37.000,3.8,1,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
lacinia eget tincidunt,Indian,Medium,Harlem,12:38:06.000,19:25:25.000,1.2,1,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
cras,Thai,Cheap,Bronx,20:21:24.000,21:06:08.000,1.8,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
non mauris,Italian,Expensive,Staten Island,16:33:06.000,11:03:04.000,4.7,0,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
nulla,Japanese,Medium,Upper West Side,19:53:39.000,20:28:15.000,2.8,0,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
odio curabitur,Greek,Expensive,Long Island City,20:42:43.000,22:06:49.000,2.6,0,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
ligula sit,Italian,Medium,Staten Island,21:41:25.000,23:33:42.000,2.0,0,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
amet lobortis,Chinese,Cheap,Queens,19:38:21.000,13:15:23.000,4.8,1,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
hendrerit at,Indian,Expensive,Harlem,17:09:07.000,22:37:00.000,3.6,0,
blandit lacinia erat,Indian,Medium,Downtown,17:54:12.000,23:45:47.000,3.2,0,Fusce consequat. Nulla nisl. Nunc nisl.
aliquam sit amet,Spanish,Expensive,Staten Island,21:15:49.000,20:19:59.000,3.6,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
quam sollicitudin,Chinese,Cheap,Queens,13:01:55.000,17:34:15.000,3.5,0,
scelerisque,Indian,Expensive,Long Island City,19:19:39.000,9:01:52.000,3.7,0,
turpis enim,Italian,Medium,Park Slope,15:55:25.000,13:37:16.000,3.0,0,
sed augue,Greek,Cheap,Upper East Side,16:06:58.000,22:58:23.000,4.0,0,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
pede posuere nonummy,Greek,Cheap,Queens,16:53:12.000,14:29:55.000,4.1,0,
tincidunt eu felis,Italian,Cheap,East Village,16:09:47.000,20:36:40.000,3.3,0,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
nisl duis bibendum,Thai,Expensive,Astoria,13:32:09.000,12:53:27.000,4.1,0,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
parturient,American,Expensive,Williamsburg,16:04:17.000,10:32:29.000,2.8,1,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
eget,Greek,Cheap,Upper East Side,15:16:55.000,15:42:49.000,1.4,0,
quis,Greek,Expensive,Long Island City,18:38:44.000,21:14:50.000,2.4,0,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
vel,French,Medium,Flushing,12:40:00.000,13:52:06.000,1.7,1,
sapien non,Mexican,Cheap,Greenwich Village,21:03:15.000,18:53:38.000,3.8,0,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
rhoncus,Japanese,Cheap,Flushing,17:48:01.000,10:01:58.000,2.2,1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
sit amet,Spanish,Cheap,Greenwich Village,18:52:52.000,17:55:54.000,2.3,1,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
amet consectetuer,Mexican,Medium,Upper West Side,21:17:00.000,16:32:59.000,3.1,0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
sapien,French,Medium,Long Island City,17:08:21.000,22:43:20.000,3.5,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
rhoncus aliquet,Japanese,Cheap,Greenwich Village,15:16:20.000,13:09:06.000,3.1,0,
lacus curabitur,French,Cheap,Greenwich Village,11:15:33.000,10:44:21.000,4.4,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
nascetur ridiculus mus,Indian,Expensive,Jackson Heights,12:19:09.000,14:56:53.000,2.3,0,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
eu sapien cursus,Chinese,Cheap,East Village,12:08:08.000,16:39:08.000,3.2,1,
parturient montes,Greek,Expensive,East Village,20:28:07.000,23:50:02.000,3.6,0,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
eleifend donec ut,Spanish,Expensive,Park Slope,20:34:36.000,22:45:21.000,2.1,0,
fusce consequat nulla,Spanish,Expensive,Greenwich Village,16:56:18.000,20:47:03.000,2.5,1,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
luctus cum,Japanese,Cheap,Upper West Side,11:07:18.000,9:00:37.000,3.8,1,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
mauris laoreet,American,Medium,Staten Island,19:51:59.000,13:30:16.000,3.1,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
quis lectus,American,Expensive,Manhattan,16:27:26.000,22:44:00.000,1.9,1,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus."
amet diam,Spanish,Medium,Long Island City,16:19:49.000,10:59:20.000,1.7,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus."
in porttitor,Japanese,Expensive,Manhattan,19:15:28.000,17:39:15.000,1.2,1,
fringilla rhoncus mauris,Japanese,Medium,Downtown,21:14:45.000,14:59:53.000,4.0,0,
nam nulla,Italian,Expensive,Bronx,11:50:26.000,14:09:00.000,1.8,0,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
mauris,Thai,Cheap,Jackson Heights,17:54:26.000,9:06:00.000,3.7,0,
sociis natoque,Mexican,Expensive,Upper East Side,20:50:58.000,9:23:01.000,4.7,0,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl."
rutrum nulla nunc,Mexican,Expensive,Upper East Side,16:39:04.000,8:28:07.000,4.2,0,
justo sit,Italian,Expensive,Bronx,15:42:57.000,11:25:50.000,3.9,0,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
in sapien,Mexican,Expensive,Lower East Side,17:08:11.000,23:00:32.000,4.1,0,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
feugiat et eros,French,Cheap,Upper West Side,16:41:00.000,13:14:55.000,1.3,1,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
in faucibus orci,Greek,Expensive,Bronx,19:47:36.000,19:48:20.000,3.5,1,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
quam turpis adipiscing,Mexican,Expensive,Harlem,20:04:16.000,19:57:18.000,2.2,0,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
